date,close,open,high,low,volume
09.11.21,4685.25,4707.25,4708.53,4670.87,3110230000
08.11.21,4701.70,4701.48,4714.92,4694.39,3465720000
07.11.21,*,*,*,*,*
06.11.21,*,*,*,*,*
05.11.21,4697.53,4699.26,4718.50,4681.32,3491150000
04.11.21,4680.06,4662.93,4683.00,4662.59,3332940000
03.11.21,4660.57,4630.65,4663.46,4621.19,3339440000
02.11.21,4630.65,4613.34,4635.15,4613.34,3309690000
01.11.21,4613.67,4610.62,4620.34,4595.06,2924000000
31.10.21,*,*,*,*,*
30.10.21,*,*,*,*,*
29.10.21,4605.38,4572.87,4608.08,4567.59,3632260000
28.10.21,4596.42,4562.84,4597.55,4562.84,3197560000
27.10.21,4551.68,4580.22,4584.57,4551.66,3259510000
26.10.21,4574.79,4578.69,4598.53,4569.17,2866500000
25.10.21,4566.48,4553.69,4572.62,4537.36,3250210000
24.10.21,*,*,*,*,*
23.10.21,*,*,*,*,*
22.10.21,4544.90,4546.12,4559.67,4524.00,3062810000
21.10.21,4549.78,4532.24,4551.44,4526.89,3016950000
20.10.21,4536.19,4524.42,4540.87,4524.40,2671560000
19.10.21,4519.63,4497.34,4520.40,4496.41,2531210000
18.10.21,4486.46,4463.72,4488.75,4447.47,2683540000
17.10.21,*,*,*,*,*
16.10.21,*,*,*,*,*
15.10.21,4471.37,4447.69,4475.82,4447.69,3000560000
14.10.21,4438.26,4386.75,4439.73,4386.75,2642920000
13.10.21,4363.80,4358.01,4372.87,4329.92,2926460000
12.10.21,4350.65,4368.31,4374.89,4342.09,2608150000
11.10.21,4361.19,4385.44,4415.88,4360.59,2580000000
10.10.21,*,*,*,*,*
09.10.21,*,*,*,*,*
08.10.21,4391.34,4406.51,4412.02,4386.22,2401890000
07.10.21,4399.76,4383.73,4429.97,4383.73,3096080000
06.10.21,4363.55,4319.57,4365.57,4290.49,3219590000
05.10.21,4345.72,4309.87,4369.23,4309.87,2967400000
04.10.21,4300.46,4348.84,4355.51,4278.94,3110560000
03.10.21,*,*,*,*,*
02.10.21,*,*,*,*,*
01.10.21,4357.04,4317.16,4375.19,4288.52,3148980000
30.09.21,4307.54,4370.67,4382.55,4306.24,3123770000
29.09.21,4359.46,4362.41,4385.57,4355.08,2753800000
28.09.21,4352.63,4419.54,4419.54,4346.33,3495970000
27.09.21,4443.11,4442.12,4457.30,4436.19,3032870000
26.09.21,*,*,*,*,*
25.09.21,*,*,*,*,*
24.09.21,4455.48,4438.04,4463.12,4430.27,2772090000
23.09.21,4448.98,4406.75,4465.40,4406.75,2833290000
22.09.21,4395.64,4367.43,4416.75,4367.43,3273670000
21.09.21,4354.19,4374.45,4394.87,4347.96,3044300000
20.09.21,4357.73,4402.95,4402.95,4305.91,3773680000
19.09.21,*,*,*,*,*
18.09.21,*,*,*,*,*
17.09.21,4432.99,4469.74,4471.52,4427.76,5622210000
16.09.21,4473.75,4477.09,4485.87,4443.80,3321030000
15.09.21,4480.70,4447.49,4486.87,4438.37,3154760000
14.09.21,4443.05,4479.33,4485.68,4435.46,2568730000
13.09.21,4468.73,4474.81,4492.99,4445.70,3096390000
12.09.21,*,*,*,*,*
11.09.21,*,*,*,*,*
10.09.21,4458.58,4506.92,4520.47,4457.66,2851140000
09.09.21,4493.28,4513.02,4529.90,4492.07,3035300000
08.09.21,4514.07,4518.09,4521.79,4493.95,2808480000
07.09.21,4520.03,4535.38,4535.38,4513.00,3098870000
06.09.21,*,*,*,*,*
05.09.21,*,*,*,*,*
04.09.21,*,*,*,*,*
03.09.21,4535.43,4532.42,4541.45,4521.30,2609660000
02.09.21,4536.95,4534.48,4545.85,4524.66,2897010000
01.09.21,4524.09,4528.80,4537.11,4522.02,3101830000
31.08.21,4522.68,4529.75,4531.39,4515.80,3090380000
30.08.21,4528.79,4513.76,4537.36,4513.76,2557300000
29.08.21,*,*,*,*,*
28.08.21,*,*,*,*,*
27.08.21,4509.37,4474.10,4513.33,4474.10,2862360000
26.08.21,4470.00,4493.75,4495.90,4468.99,2704600000
